Concept ID,Macro Dimension,Subdomain,Tradition / School,Philosophical Concept,Symbolic Keywords,Visual Evidence Patterns,Visual Inferability,Temporal Requirement,Grounding Rule,Maslow Relevance (Auxiliary),SEP Relationship,SEP Entry,SEP URL,Source Accessed,Ontology Status
PHC-137,Ontology,Social Ontology,Social and Political Philosophy,Social Institutions,"durable structures of roles, rules, norms, and practices",a courtroom with differentiated roles and procedures; a school organized by recurring roles and rules; an institution reproduced through patterned interactions,context_heavy,longitudinal,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",safety; love_belonging,direct,Stanford Encyclopedia of Philosophy: social institutions,https://plato.stanford.edu/entries/social-institutions/,2026-09-09,candidate
PHC-138,Ontology,Philosophy of Religion,Analytic Philosophy,Creation and Conservation (Augustine),Creation and sustaining; continuance of existence,First kindling; ongoing watering; engine running after start; craftsman's ongoing carving,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: creation and conservation,https://plato.stanford.edu/entries/creation-conservation/,2026-09-09,candidate
PHC-139,Ontology,Philosophy of Religion,Analytic Philosophy,God and Necessary Being (Anselm),Self-sufficient existence; independent of others,Inextinguishable light-source; self-rotating star; self-supporting keystone; flowing source-spring,not_image_decidable,snapshot,"Do not assign from a single image without decisive text, provenance, or task context.",not_applicable,related,Stanford Encyclopedia of Philosophy: and other necessary beings,https://plato.stanford.edu/entries/god-necessary-being/,2026-09-09,ontology_only
PHC-140,Ontology,Philosophy of Religion,Analytic Philosophy,Omnipotence (Aquinas),Unlimited power; all-capable,All-governing hand; mountain-moving force; infinite energy-beam; encompassing halo,not_image_decidable,snapshot,"Do not assign from a single image without decisive text, provenance, or task context.",not_applicable,direct,Stanford Encyclopedia of Philosophy: omnipotence,https://plato.stanford.edu/entries/omnipotence/,2026-09-09,ontology_only
PHC-141,Ontology,Philosophy of Religion,Analytic Philosophy,Omnipresence (Aquinas),Everywhere; pervading all,Diffuse air; all-covering network; light permeating every corner; sky surrounding all,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: omnipresence,https://plato.stanford.edu/entries/omnipresence/,2026-09-09,candidate
PHC-142,Ontology,Philosophy of Religion,Analytic Philosophy,Omniscience (Aquinas),All-knowing; fully discerning,Overlooking eye; all-seeing X-ray; comprehensive map; sharp lens,not_image_decidable,snapshot,"Do not assign from a single image without decisive text, provenance, or task context.",not_applicable,direct,Stanford Encyclopedia of Philosophy: omniscience,https://plato.stanford.edu/entries/omniscience/,2026-09-09,ontology_only
PHC-143,Ontology,Structure & Infinity,Analytic Philosophy,Boundaries (Aristotle),Limits; divisions; inside-outside,Borderlines; river-banks; walls; skin-surface,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: boundary,https://plato.stanford.edu/entries/boundary/,2026-09-09,candidate
PHC-144,Ontology,Structure & Infinity,Analytic Philosophy,Compositionality (Frege),Whole generated by parts rule-governedly; structured combination,Lego bricks assembled by rules; letters forming words/sentences; notes forming melodies; bricks laid to plan,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: compositionality,https://plato.stanford.edu/entries/compositionality/,2026-09-09,candidate
PHC-145,Ontology,Structure & Infinity,Analytic Philosophy,Continuity and Infinitesimals (Leibniz),Infinite divisibility; minimal limits,Fractal infinite subdivision; microscope magnification; dense points on number-line; nested Russian dolls,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: continuity and infinitesimals,https://plato.stanford.edu/entries/continuity/,2026-09-09,candidate
PHC-146,Ontology,Structure & Infinity,Analytic Philosophy,Contradiction (Aristotle),Opposition not co-existing; logical conflict,Scale-opposition; positive-negative charge repulsion; fire-water opposition; mirror-opposites,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: contradiction,https://plato.stanford.edu/entries/contradiction/,2026-09-09,candidate
PHC-147,Ontology,Structure & Infinity,Analytic Philosophy,Infinite Regress Argument (Aristotle),Layer-by-layer retrospection; endless chain,Dominoes extending; nested Russian dolls; infinite mirror-reflection; branching roots,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: infinite regress arguments,https://plato.stanford.edu/entries/infinite-regress/,2026-09-09,candidate
PHC-148,Ontology,Structure & Infinity,Analytic Philosophy,Philosophical Infinity,Boundless; beyond limit,Endless star-field; infinite fractal; endless corridor; perpetual pendulum,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,Stanford Encyclopedia of Philosophy: Aristotle,https://plato.stanford.edu/entries/aristotle/,2026-09-09,ontology_only
PHC-149,Ontology,Structure & Infinity,Analytic Philosophy,Symmetry and Invariance,Constant across frames; stable across systems,Light-speed invariance; Polaris fixed; pi constant; stable centre-of-gravity,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: symmetry and symmetry breaking,https://plato.stanford.edu/entries/symmetry-breaking/,2026-09-09,candidate
PHC-150,Ontology,Structure & Infinity,Analytic Philosophy,Vagueness (Frege),Blurred boundaries; gradient transition,Twilight line; misty border; dune-contour; colour-gradient,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: vagueness,https://plato.stanford.edu/entries/vagueness/,2026-09-09,candidate
PHC-151,Ontology,Structure & Infinity,Ancient Greek Philosophy,Aristotle on Infinity,Boundless; beyond limit; inexhaustible,Rails stretching to horizon; endless mirror-in-mirror; fractal patterns; corridor without end,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: metaphysics,https://plato.stanford.edu/entries/aristotle-metaphysics/,2026-09-09,candidate
PHC-152,Ontology,General & Comparative Metaphysics,Analytic Philosophy,Cosmology (Aristotle),Celestial order; cosmic structure,Galaxy-spiral; planetary orbit-model; starry dome; celestial globe,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,"Stanford Encyclopedia of Philosophy: cosmology, philosophy of",https://plato.stanford.edu/entries/cosmology/,2026-09-09,candidate
PHC-153,Ontology,General & Comparative Metaphysics,Analytic Philosophy,Ontological Commitment (Quine),Existential commitments of theories; discourse-promises,Shopping-list items; contract clauses; blueprint-components; ledger entries,not_image_decidable,snapshot,"Do not assign from a single image without decisive text, provenance, or task context.",not_applicable,direct,Stanford Encyclopedia of Philosophy: ontological commitment,https://plato.stanford.edu/entries/ontological-commitment/,2026-09-09,ontology_only
PHC-154,Ontology,General & Comparative Metaphysics,Chinese Philosophy,Qi / Vital Energy (Zhang Zai),Pervading filling; life-energy; circulating transformation,Wreathing mist; rising cooking smoke; flowing blood; breath,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: metaphysics,https://plato.stanford.edu/entries/chinese-metaphysics/,2026-09-09,candidate
PHC-155,Ontology,General & Comparative Metaphysics,Chinese Philosophy,Yin-Yang (I Ching / Yijing),Opposition-unity; complementary waxing-waning; dynamic balance,Taiji fish-shape; day-night alternation; tide-flow; scale-swaying,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: metaphysics,https://plato.stanford.edu/entries/chinese-metaphysics/,2026-09-09,candidate
PHC-156,Ontology,General & Comparative Metaphysics,Medieval Philosophy,Transcendentals (Philip the Chancellor),Beyond categories; running through all; highest attributes,Sky covering all; light permeating every crack; network covering whole territory; tower overlooking all,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,contextual,Stanford Encyclopedia of Philosophy: metaphysics,https://plato.stanford.edu/entries/metaphysics/,2026-09-09,ontology_only
PHC-157,Ontology,General & Comparative Metaphysics,Post-Structuralism,Nomadism (Deleuze & Guattari),Wandering; no fixed territory; lines of flight,Migratory bird routes; nomadic tents; wanderer's tracks; shifting sand-dunes,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,"Stanford Encyclopedia of Philosophy: Deleuze, Gilles",https://plato.stanford.edu/entries/deleuze/,2026-09-09,ontology_only
PHC-158,Ontology,General & Comparative Metaphysics,Post-Structuralism,Rhizome (Deleuze & Guattari),Multi-directional connections; centre-less spreading; underground networks,Underground root-network; ant-tunnel channels; mycelial web; subway map,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,"Stanford Encyclopedia of Philosophy: Deleuze, Gilles",https://plato.stanford.edu/entries/deleuze/,2026-09-09,ontology_only
PHC-159,Epistemology,Knowledge & Truth,Analytic Philosophy,Knowledge by Acquaintance (Russell),Direct experience; first-hand contact,Hand on rough bark; tasting sour; on-site witnessing; ice's sting; face-to-face clarity,context_heavy,snapshot,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",self_actualization,related,Stanford Encyclopedia of Philosophy: by acquaintance vs. description,https://plato.stanford.edu/entries/knowledge-acquaindescrip/,2026-09-09,candidate
PHC-160,Epistemology,Knowledge & Truth,Analytic Philosophy,Knowledge by Description (Russell),Indirect understanding; inferred knowledge,Tree on TV screen; apple in photo; hearsay account; described coldness; portrait of a face,context_heavy,snapshot,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",self_actualization,related,Stanford Encyclopedia of Philosophy: by acquaintance vs. description,https://plato.stanford.edu/entries/knowledge-acquaindescrip/,2026-09-09,candidate
PHC-161,Epistemology,Knowledge & Truth,Ancient Greek Philosophy,"Knowledge (Plato, Aristotle)",Theory & practice; know-how; craft mastery,Blueprint beside trowel; anatomy chart with scalpel; score with instrument; design with finished work; theory book next to lab bench,context_heavy,snapshot,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",self_actualization,thinker_or_tradition,Stanford Encyclopedia of Philosophy: Plato,https://plato.stanford.edu/entries/plato/,2026-09-09,ontology_only
PHC-162,Epistemology,Knowledge & Truth,Ancient Greek Philosophy,"Logos (Heraclitus, Aristotle)",Order; cosmic law; universal pattern,Planetary orbits; sundial shadow; honeycomb hexagons; ascending musical scale; concentric stone rings,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,Stanford Encyclopedia of Philosophy: Aristotle,https://plato.stanford.edu/entries/aristotle/,2026-09-09,ontology_only
PHC-163,Epistemology,Knowledge & Truth,Ancient Greek Philosophy,Opinion (Plato),Multitude of views; prejudice; unexamined,Bustling market debate; layered sticky notes; screen-covering bullet comments; competing newspapers; conflicting arguments,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,Stanford Encyclopedia of Philosophy: Plato,https://plato.stanford.edu/entries/plato/,2026-09-09,ontology_only
PHC-164,Epistemology,Knowledge & Truth,German Idealism,Absolute Knowledge (Hegel),Completion; self-consistency; omni-perspective,Ouroboros; aerial city view; final puzzle piece; circle closing; sphere complete from any angle,not_image_decidable,snapshot,"Do not assign from a single image without decisive text, provenance, or task context.",self_actualization,thinker_or_tradition,"Stanford Encyclopedia of Philosophy: Hegel, Georg Wilhelm Friedrich",https://plato.stanford.edu/entries/hegel/,2026-09-09,ontology_only
PHC-165,Epistemology,Knowledge & Truth,Kantian Epistemology,Antinomies (Kant),Dilemma; stalemate; thesis-antithesis conflict,Armies facing off; twilight boundary; magnet repulsion; opposing arguments; balanced scales,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,"Stanford Encyclopedia of Philosophy: Kant, Immanuel",https://plato.stanford.edu/entries/kant/,2026-09-09,candidate
PHC-166,Epistemology,Knowledge & Truth,Kantian Epistemology,Categories (Kant),Classification; framework; conceptual grid,Twelve-compartment wooden box; library index hierarchy; colour wheel; labelled shelves; filing-cabinet tabs,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: categories,https://plato.stanford.edu/entries/categories/,2026-09-09,candidate
PHC-167,Epistemology,Knowledge & Truth,Kantian Epistemology,Schema (Kant),Bridge; mediator; transformation,Staircase connecting floors; sign-language diagram; score-to-keyboard mapping; concept-to-object bridge; abstract-to-concrete channel,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: schema,https://plato.stanford.edu/entries/schema/,2026-09-09,candidate
PHC-168,Epistemology,Knowledge & Truth,Kantian Epistemology,Space & Time (Kant),Containers; frameworks; a priori conditions,Empty room to fill; infinite rails; coordinate grid on map; uniform clock dial; sundial shadow moving regularly,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,"Stanford Encyclopedia of Philosophy: Kant, Immanuel",https://plato.stanford.edu/entries/kant/,2026-09-09,ontology_only
PHC-169,Epistemology,Knowledge & Truth,Kantian Epistemology,Synthetic A Priori Judgment (Kant),A priori validity; independent of experience,Child drawing straight line; perfect freehand circle; unshakeable Pythagorean theorem; symmetrical correspondence; shortest path between two points,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,"Stanford Encyclopedia of Philosophy: Kant, Immanuel",https://plato.stanford.edu/entries/kant/,2026-09-09,candidate
PHC-170,Epistemology,Knowledge & Truth,Kantian Epistemology,Transcendental Deduction (Kant),Fit; correspondence; legitimate application,Key in lock; jigsaw piece fitting perfectly; mortise-tenon joint; plug into socket; gear meshing,not_image_decidable,snapshot,"Do not assign from a single image without decisive text, provenance, or task context.",not_applicable,related,"Stanford Encyclopedia of Philosophy: Kant, Immanuel",https://plato.stanford.edu/entries/kant/,2026-09-09,ontology_only
PHC-171,Epistemology,Knowledge & Truth,Kantian Epistemology,Transcendental Idealism (Kant),Cognitive framework; perspective; way of seeing,Pink lens making all pink; tailor cutting to mannequin; 3D glasses; blur-to-clear lens; filter changing everything,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: transcendental idealism,https://plato.stanford.edu/entries/kant-transcendental-idealism/,2026-09-09,candidate
PHC-172,Epistemology,Knowledge & Truth,Kantian Epistemology,Understanding (Kant),Processing; organization; judgment; conceptualization,Chisel carving wood; type-setter arranging letters; library classification; sieve sifting grain; template shaping clay,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: understanding,https://plato.stanford.edu/entries/understanding/,2026-09-09,candidate
PHC-173,Epistemology,Knowledge & Truth,Medieval Philosophy,Abstraction (Aquinas),Purification; extraction; distillation,Sieve separating chaff; ore smelting metal; carving away excess to reveal statue; filtering to pure colour; distillation process,symbol_mediated,process,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,"Stanford Encyclopedia of Philosophy: Aquinas, Thomas",https://plato.stanford.edu/entries/aquinas/,2026-09-09,ontology_only
PHC-174,Epistemology,Knowledge & Truth,Medieval Philosophy,Divine Illumination (Augustine),Grace; revelation; heavenly light,Light switched on in dark room; lighthouse through sea mist; flashlight sweeping cave; dawn on mountain peak; stage spotlight,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: illumination,https://plato.stanford.edu/entries/illumination/,2026-09-09,candidate
PHC-175,Epistemology,Knowledge & Truth,Medieval Philosophy,Illumination Theory (Augustine),Clarity; awakening; insight,Stained-glass beam on open page; cave torch ignition; dawn revealing contours; candlelight on scripture; lighthouse piercing fog,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: illumination,https://plato.stanford.edu/entries/illumination/,2026-09-09,candidate
PHC-176,Epistemology,Knowledge & Truth,Medieval Philosophy,Intellectual Intuition (Duns Scotus),Direct insight; penetration; immediate grasp,X-ray showing fracture; seeing figure through frosted glass; peeling to the core; unveiling statue; seeing distant peak through mist,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,"Stanford Encyclopedia of Philosophy: Duns Scotus, John",https://plato.stanford.edu/entries/duns-scotus/,2026-09-09,ontology_only
PHC-177,Epistemology,Knowledge & Truth,Medieval Philosophy,"Intention (Aquinas, Duns Scotus)",Direction; aiming; tending toward,Gaze fixed on one in crowd; arrow on bowstring aimed; telescope on star; viewfinder framing target; searchlight sweeping,context_heavy,snapshot,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",not_applicable,direct,Stanford Encyclopedia of Philosophy: intention,https://plato.stanford.edu/entries/intention/,2026-09-09,candidate
PHC-178,Epistemology,Knowledge & Truth,Medieval Philosophy,Self-Evident Principle (Aquinas),Axiomatic; foundational; indemonstrable,First cornerstone; first domino; formula needing no proof; sunrise certainty; prime mover's self-evidence,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,"Stanford Encyclopedia of Philosophy: Aquinas, Thomas",https://plato.stanford.edu/entries/aquinas/,2026-09-09,ontology_only
PHC-179,Epistemology,Knowledge & Truth,Modern Philosophy,Clear and Distinct (Descartes),Transparent; evident; indubitable,Flawless crystal; clearly demarcated cells; high-definition pixels; object fully lit; pure spectral prism,context_heavy,snapshot,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",not_applicable,thinker_or_tradition,"Stanford Encyclopedia of Philosophy: Descartes, René",https://plato.stanford.edu/entries/descartes/,2026-09-09,ontology_only
PHC-180,Epistemology,Knowledge & Truth,Modern Philosophy,Cogito (Descartes),Self; existence; fixed anchor,Candlelit solitary chamber; clear mirror reflection; empty room with lone chair; lighthouse on isolated island; sole flame in darkness,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: epistemology,https://plato.stanford.edu/entries/descartes-epistemology/,2026-09-09,candidate
PHC-181,Epistemology,Knowledge & Truth,Modern Philosophy,Habit (Hume),Inertia; automatism; tacit knowing,Chickens fed daily stretching necks; muscle memory tying shoes; familiar path taken unthinkingly; old horse finding way home; automated daily routine,context_heavy,process,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",not_applicable,thinker_or_tradition,"Stanford Encyclopedia of Philosophy: Hume, David",https://plato.stanford.edu/entries/hume/,2026-09-09,ontology_only
PHC-182,Epistemology,Knowledge & Truth,Modern Philosophy,"Idea (Locke, Hume)",Mental image; thought; inner appearance,Red apple imagined with eyes closed; blurred dream face; inner echo; flashback; unseen landscape imagined,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,"Stanford Encyclopedia of Philosophy: Locke, John",https://plato.stanford.edu/entries/locke/,2026-09-09,ontology_only
PHC-183,Epistemology,Knowledge & Truth,Modern Philosophy,"Innate Ideas (Descartes, Leibniz)",Inborn; a priori; instinctive,Newborn gripping finger; pup seeking milk; seed germinating; instinctive suckling; hatchling seeking food,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,"Stanford Encyclopedia of Philosophy: Descartes, René",https://plato.stanford.edu/entries/descartes/,2026-09-09,ontology_only
PHC-184,Epistemology,Knowledge & Truth,Modern Philosophy,Real vs Nominal Essence (Locke),Substance vs naming; kernel vs label,"Rough ore vs gold bar; peeled orange vs word ""orange""; person vs photo side-by-side; object vs label",symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,"Stanford Encyclopedia of Philosophy: Locke, John",https://plato.stanford.edu/entries/locke/,2026-09-09,ontology_only
PHC-185,Epistemology,Knowledge & Truth,Modern Philosophy,Simple & Complex Ideas (Locke),Assembly; combination; part-to-whole,Scattered blocks vs castle; single notes vs symphony; letters vs poem; parts vs assembled machine; raw material vs finished product,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,"Stanford Encyclopedia of Philosophy: Locke, John",https://plato.stanford.edu/entries/locke/,2026-09-09,ontology_only
PHC-186,Epistemology,Knowledge & Truth,Modern Philosophy,Tabula Rasa (Locke),Blank; pure; writable,Blank parchment; untrodden snow; new notebook's first page; empty canvas; clean blackboard,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,"Stanford Encyclopedia of Philosophy: Locke, John",https://plato.stanford.edu/entries/locke/,2026-09-09,ontology_only
PHC-187,Epistemology,Knowledge & Truth,Pragmatism,Belief (Peirce),Certainty; stability; habituation,Sinking into familiar old armchair; well-trodden road; ambient temperature unnoticed; unexamined routine; eyes-closed task,context_heavy,snapshot,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",not_applicable,direct,Stanford Encyclopedia of Philosophy: belief,https://plato.stanford.edu/entries/belief/,2026-09-09,candidate
PHC-188,Epistemology,Knowledge & Truth,Pragmatism,"Effects & Consequences (James, Dewey)",Actual difference; before-and-after contrast,Before/after surgery; light switch on/off; landscape change after planting; water state change; pre/post experimental data,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,"Stanford Encyclopedia of Philosophy: Dewey, John",https://plato.stanford.edu/entries/dewey/,2026-09-09,ontology_only
PHC-189,Epistemology,Knowledge & Truth,Pragmatism,Inquiry (Dewey),Problem-solving; questioning; active search,Detective with magnifying glass; scientist recording data; mining pick into ore; finger moving along dictionary entry; finding correct puzzle piece,symbol_mediated,process,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,self_actualization,thinker_or_tradition,"Stanford Encyclopedia of Philosophy: Dewey, John",https://plato.stanford.edu/entries/dewey/,2026-09-09,ontology_only
PHC-190,Epistemology,Knowledge & Truth,Pragmatism,Instrumentalism (Dewey),Thought as tool; problem-solving instrument,Plane smoothing wood; fingers on keyboard; knife cutting food; brush on canvas; scalpel on skin,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,"Stanford Encyclopedia of Philosophy: Dewey, John",https://plato.stanford.edu/entries/dewey/,2026-09-09,ontology_only
PHC-191,Epistemology,Knowledge & Truth,Pragmatism,Pragmatic Maxim (Peirce),Use = meaning; practical verification,Tools each with function; indispensable recipe ingredients; key-lock correspondence; drug efficacy label; calibrated instrument,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: pragmatism,https://plato.stanford.edu/entries/pragmatism/,2026-09-09,candidate
PHC-192,Epistemology,Knowledge & Truth,Pragmatism,"Truth (James, Dewey)",Consensus; convergence; ideal endpoint,Tributaries to same sea; signs pointing to same city; beams converging on one point; paths meeting at summit; opinions converging to consensus,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: truth,https://plato.stanford.edu/entries/truth/,2026-09-09,candidate
PHC-193,Epistemology,Justification & Evidence,Analytic Philosophy,Analysis of Knowledge (traditional tripartite),Decomposition; components; constituent parts,Labelled specimens on dissection table; ingredient list; recipe components; parts list; composition table,context_heavy,snapshot,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",self_actualization,related,Stanford Encyclopedia of Philosophy: analysis of,https://plato.stanford.edu/entries/knowledge-analysis/,2026-09-09,candidate
PHC-194,Epistemology,Justification & Evidence,Analytic Philosophy,"Coherentism (Bradley, Bosanquet)",Mutual support; systemic consistency,Spiderweb interwoven; leaning books; arch stones mutually pressing; fishing-net mesh; skeleton's mutual support,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: analysis of,https://plato.stanford.edu/entries/knowledge-analysis/,2026-09-09,candidate
PHC-195,Epistemology,Justification & Evidence,Analytic Philosophy,"Externalism (Goldman, Lehrer)",External; non-inspectable; reliant on outside,Sealed computer case; concrete wall hiding interior; black-box operation; hidden dashboard sensors; dependence on external conditions,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,contextual,Stanford Encyclopedia of Philosophy: epistemology,https://plato.stanford.edu/entries/epistemology/,2026-09-09,ontology_only
PHC-196,Epistemology,Justification & Evidence,Analytic Philosophy,"Foundationalism (Descartes, contemporary)",Ground; bedrock; self-evident,Pyramid's base stones; deep building piles; Euclidean axioms as base; first foundation stone; lowest supporting layer,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: analysis of,https://plato.stanford.edu/entries/knowledge-analysis/,2026-09-09,candidate
PHC-197,Epistemology,Justification & Evidence,Analytic Philosophy,Gettier Problem (Gettier),Accident; anomaly; false appearance,Artificial turf undetected; cuckoo-clock fake bird; counterfeit bill passed by machine; mirror reflection mistaken for person; convincing replica,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: analysis of,https://plato.stanford.edu/entries/knowledge-analysis/,2026-09-09,candidate
PHC-198,Epistemology,Justification & Evidence,Analytic Philosophy,"Internalism (Goldman, Lehrer)",Introspectively accessible; reflectively available,Transparent watch case; glass room fully visible; aquarium clarity; inner monologue inspectable; open diary,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,contextual,Stanford Encyclopedia of Philosophy: epistemology,https://plato.stanford.edu/entries/epistemology/,2026-09-09,ontology_only
PHC-199,Epistemology,Justification & Evidence,Analytic Philosophy,Justification (Goldman),Support; reason; evidential chain,Diagonal brace; lawyer presenting evidence; experimental data logs; supporting pillars; scaffolding layers,context_heavy,snapshot,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",not_applicable,related,Stanford Encyclopedia of Philosophy: analysis of,https://plato.stanford.edu/entries/knowledge-analysis/,2026-09-09,candidate
PHC-200,Epistemology,Justification & Evidence,Analytic Philosophy,Reliabilism (Goldman),Trustworthiness; competence; reliable process,Assembly-line quality stamp; calibrated instrument reading; certification mark; factory inspection pass; tolerance within spec,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: reliabilist epistemology,https://plato.stanford.edu/entries/reliabilism/,2026-09-09,candidate
