concept_id,concept,evidence_tier,neighbor_source,neighbor_rank,neighbor_id,neighbor_concept,neighbor_subdomain,similarity_score,shared_axis,shared_symbolic_keywords,concept_only_visual_patterns,neighbor_only_visual_patterns,concept_grounding_rule,neighbor_grounding_rule,human_discrimination_rule,reviewer_id
PHC-315,Duty (Kant),B_context_dependent,lexical_overlap,7,PHC-476,Rule of Law (Aristotle),Philosophy of Law,0.100,,,inner compass-like guide;law inscribed on stone tablet;rope of responsibility tied to wrist;unbreakable signpost,laws inscribed in stone;suspended scale;uniform standard;universally applicable measure,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-317,Autonomy in Moral and Political Philosophy,B_context_dependent,same_axis_retrieval,1,PHC-114,Free Will (Augustine),"Mind, Self & Agency",,choice_journey,,a consent process showing options and refusal;a person choosing among accessible alternatives without visible coercion;an institution enabling independent participation,button self-pressed;freely moving brush;loosened reins;turning at crossroads,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-317,Autonomy in Moral and Political Philosophy,B_context_dependent,same_axis_retrieval,2,PHC-133,Agency,"Mind, Self & Agency",,choice_journey,,a consent process showing options and refusal;a person choosing among accessible alternatives without visible coercion;an institution enabling independent participation,a control interface operated to produce an observable effect;a deliberate choice followed by a matching action;an agent visibly initiating rather than undergoing a movement,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-317,Autonomy in Moral and Political Philosophy,B_context_dependent,same_subdomain,3,PHC-318,Personal Autonomy,Normative & Virtue Ethics,0.128,,,a consent process showing options and refusal;a person choosing among accessible alternatives without visible coercion;an institution enabling independent participation,a long-term project chosen and pursued by the same agent;a person revising a life plan;refusal and alternatives respected during consent,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-317,Autonomy in Moral and Political Philosophy,B_context_dependent,same_subdomain,4,PHC-291,Eros (Plato),Normative & Virtue Ethics,0.000,,,a consent process showing options and refusal;a person choosing among accessible alternatives without visible coercion;an institution enabling independent participation,compass pointing north;magnetic attraction;moth-to-flame attraction;vine reaching for light,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-317,Autonomy in Moral and Political Philosophy,B_context_dependent,same_subdomain,5,PHC-292,Eudaimonia / Flourishing (Aristotle),Normative & Virtue Ethics,0.000,,,a consent process showing options and refusal;a person choosing among accessible alternatives without visible coercion;an institution enabling independent participation,bountiful harvest;completed building;fruit-laden tree;successful performance,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-317,Autonomy in Moral and Political Philosophy,B_context_dependent,lexical_overlap,6,PHC-395,Informed Consent,Bioethics & Health Ethics,0.079,,,a consent process showing options and refusal;a person choosing among accessible alternatives without visible coercion;an institution enabling independent participation,an uncoerced accept-or-refuse choice with refusal available;options and material risks presented in readable form;the decision-maker demonstrating understanding,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-317,Autonomy in Moral and Political Philosophy,B_context_dependent,lexical_overlap,7,PHC-366,Altruism,Moral Psychology & Philosophy of Life,0.077,,,a consent process showing options and refusal;a person choosing among accessible alternatives without visible coercion;an institution enabling independent participation,a person giving scarce food or time to another;anonymous aid without an obvious reward;rescue assistance involving visible cost,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-345,Moral Responsibility (Aristotle),B_context_dependent,same_axis_retrieval,1,PHC-315,Duty (Kant),Normative & Virtue Ethics,,ethics_responsibility,,hand on steering wheel;shoulder bearing consequence;signature left;signed statement of responsibility,inner compass-like guide;law inscribed on stone tablet;rope of responsibility tied to wrist;unbreakable signpost,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-345,Moral Responsibility (Aristotle),B_context_dependent,same_axis_retrieval,2,PHC-382,Collective Responsibility,Applied & Professional Ethics,,ethics_responsibility,,hand on steering wheel;shoulder bearing consequence;signature left;signed statement of responsibility,a group jointly signing a decision;an organizational chain visibly linked to a harmful outcome;team roles assigned in a shared plan,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-345,Moral Responsibility (Aristotle),B_context_dependent,same_subdomain,3,PHC-334,Moral Intuitionism (Moore),Metaethics,0.042,,,hand on steering wheel;shoulder bearing consequence;signature left;signed statement of responsibility,instinctively withdrawing hand;reflex-like judgment;seeing-through intuition;unthinking first response,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-345,Moral Responsibility (Aristotle),B_context_dependent,same_subdomain,4,PHC-350,Practical Reason (Aristotle),Metaethics,0.042,,,hand on steering wheel;shoulder bearing consequence;signature left;signed statement of responsibility,decision-tree branches;deliberate signature;route-planning map;scale weighing pros/cons,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-345,Moral Responsibility (Aristotle),B_context_dependent,same_subdomain,5,PHC-355,Skepticism about Moral Responsibility (Galen Strawson),Metaethics,0.040,,,hand on steering wheel;shoulder bearing consequence;signature left;signed statement of responsibility,dismantled causal chain;loosened chain of responsibility;pending judgment;question mark on verdict,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-345,Moral Responsibility (Aristotle),B_context_dependent,lexical_overlap,6,PHC-473,Legal Responsibility,Philosophy of Law,0.238,,accountability,hand on steering wheel;shoulder bearing consequence;signature left;signed statement of responsibility,chain of joint liability;court-identification;falling gavel;signed responsibility statement,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-345,Moral Responsibility (Aristotle),B_context_dependent,lexical_overlap,7,PHC-278,Assertion,"Language, Meaning & Representation",0.083,,,hand on steering wheel;shoulder bearing consequence;signature left;signed statement of responsibility,a claim challenged by an interlocutor;a declarative statement attributed to a speaker;a signed public claim,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-363,"Authenticity (Heidegger, Sartre)",B_context_dependent,same_axis_retrieval,1,PHC-060,Personal Identity (Locke),Identity & Persistence,,identity_appearance,,post-makeup mirror;solitary cabin in wilderness;stripped label;unmasked face;unretouched detail,continuous diary pages;same river-system;string of pearls;successive footprints,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-363,"Authenticity (Heidegger, Sartre)",B_context_dependent,same_axis_retrieval,2,PHC-364,Bad Faith / Self-Deception (Sartre),Moral Psychology & Philosophy of Life,,identity_appearance,,post-makeup mirror;solitary cabin in wilderness;stripped label;unmasked face;unretouched detail,"actor in costume saying ""i'm just a spectator"";hand covering eyes with fingers apart;masked dancer forgetting their own face;repeating ""i have no choice"" while knowing otherwise;unopened letter trembling in hand","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-363,"Authenticity (Heidegger, Sartre)",B_context_dependent,same_subdomain,3,PHC-371,Nausea (Sartre),Moral Psychology & Philosophy of Life,0.071,,,post-makeup mirror;solitary cabin in wilderness;stripped label;unmasked face;unretouched detail,floating weightlessness;stomach-churning unease;suddenly seeing tree-roots clearly;unfamiliar face in mirror,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-363,"Authenticity (Heidegger, Sartre)",B_context_dependent,same_subdomain,4,PHC-360,"Ataraxia (Pyrrho, Sextus)",Moral Psychology & Philosophy of Life,0.000,,,post-makeup mirror;solitary cabin in wilderness;stripped label;unmasked face;unretouched detail,calm surface over deep current;eye of storm;impassive stone buddha;rippleless lake-mirror;still candle flame,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-363,"Authenticity (Heidegger, Sartre)",B_context_dependent,same_subdomain,5,PHC-361,Meaning of Life,Moral Psychology & Philosophy of Life,0.000,,,post-makeup mirror;solitary cabin in wilderness;stripped label;unmasked face;unretouched detail,a life narrative connected across projects and relationships;a memorial linking actions to enduring significance;explicit reflection on purpose in readable text,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Do not assign from a single image without decisive text, provenance, or task context.",,
PHC-363,"Authenticity (Heidegger, Sartre)",B_context_dependent,lexical_overlap,6,PHC-180,Cogito (Descartes),Knowledge & Truth,0.094,,,post-makeup mirror;solitary cabin in wilderness;stripped label;unmasked face;unretouched detail,candlelit solitary chamber;clear mirror reflection;empty room with lone chair;lighthouse on isolated island;sole flame in darkness,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-363,"Authenticity (Heidegger, Sartre)",B_context_dependent,lexical_overlap,7,PHC-044,Conceptualism (Abelard),"Objects, Properties & Categories",0.065,,,post-makeup mirror;solitary cabin in wilderness;stripped label;unmasked face;unretouched detail,blurred dream face;imagined city;inner silent speech;red imagined with eyes closed;solitary inner monologue,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-364,Bad Faith / Self-Deception (Sartre),A_core_recommended,same_axis_retrieval,1,PHC-060,Personal Identity (Locke),Identity & Persistence,,identity_appearance,,"actor in costume saying ""i'm just a spectator"";hand covering eyes with fingers apart;masked dancer forgetting their own face;repeating ""i have no choice"" while knowing otherwise;unopened letter trembling in hand",continuous diary pages;same river-system;string of pearls;successive footprints,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-364,Bad Faith / Self-Deception (Sartre),A_core_recommended,same_axis_retrieval,2,PHC-363,"Authenticity (Heidegger, Sartre)",Moral Psychology & Philosophy of Life,,identity_appearance,,"actor in costume saying ""i'm just a spectator"";hand covering eyes with fingers apart;masked dancer forgetting their own face;repeating ""i have no choice"" while knowing otherwise;unopened letter trembling in hand",post-makeup mirror;solitary cabin in wilderness;stripped label;unmasked face;unretouched detail,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-364,Bad Faith / Self-Deception (Sartre),A_core_recommended,same_subdomain,3,PHC-362,"Anxiety (Kierkegaard, Heidegger)",Moral Psychology & Philosophy of Life,0.023,,,"actor in costume saying ""i'm just a spectator"";hand covering eyes with fingers apart;masked dancer forgetting their own face;repeating ""i have no choice"" while knowing otherwise;unopened letter trembling in hand",bungee-edge toes;height vertigo;insomniac in darkness;mist-obscured path;trembling on single-log bridge,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-364,Bad Faith / Self-Deception (Sartre),A_core_recommended,same_subdomain,4,PHC-371,Nausea (Sartre),Moral Psychology & Philosophy of Life,0.022,,,"actor in costume saying ""i'm just a spectator"";hand covering eyes with fingers apart;masked dancer forgetting their own face;repeating ""i have no choice"" while knowing otherwise;unopened letter trembling in hand",floating weightlessness;stomach-churning unease;suddenly seeing tree-roots clearly;unfamiliar face in mirror,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-364,Bad Faith / Self-Deception (Sartre),A_core_recommended,same_subdomain,5,PHC-360,"Ataraxia (Pyrrho, Sextus)",Moral Psychology & Philosophy of Life,0.000,,,"actor in costume saying ""i'm just a spectator"";hand covering eyes with fingers apart;masked dancer forgetting their own face;repeating ""i have no choice"" while knowing otherwise;unopened letter trembling in hand",calm surface over deep current;eye of storm;impassive stone buddha;rippleless lake-mirror;still candle flame,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-364,Bad Faith / Self-Deception (Sartre),A_core_recommended,lexical_overlap,6,PHC-358,Weakness of Will / Akrasia (Aristotle),Metaethics,0.045,,,"actor in costume saying ""i'm just a spectator"";hand covering eyes with fingers apart;masked dancer forgetting their own face;repeating ""i have no choice"" while knowing otherwise;unopened letter trembling in hand",brake released;hand breaking vow;hand reaching despite knowing harm;knee bending,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-364,Bad Faith / Self-Deception (Sartre),A_core_recommended,lexical_overlap,7,PHC-182,"Idea (Locke, Hume)",Knowledge & Truth,0.043,,,"actor in costume saying ""i'm just a spectator"";hand covering eyes with fingers apart;masked dancer forgetting their own face;repeating ""i have no choice"" while knowing otherwise;unopened letter trembling in hand",blurred dream face;flashback;inner echo;red apple imagined with eyes closed;unseen landscape imagined,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-382,Collective Responsibility,B_context_dependent,same_axis_retrieval,1,PHC-315,Duty (Kant),Normative & Virtue Ethics,,ethics_responsibility,,a group jointly signing a decision;an organizational chain visibly linked to a harmful outcome;team roles assigned in a shared plan,inner compass-like guide;law inscribed on stone tablet;rope of responsibility tied to wrist;unbreakable signpost,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-382,Collective Responsibility,B_context_dependent,same_axis_retrieval,2,PHC-345,Moral Responsibility (Aristotle),Metaethics,,ethics_responsibility,,a group jointly signing a decision;an organizational chain visibly linked to a harmful outcome;team roles assigned in a shared plan,hand on steering wheel;shoulder bearing consequence;signature left;signed statement of responsibility,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-382,Collective Responsibility,B_context_dependent,same_subdomain,3,PHC-373,Dirty Hands Problem (Walzer),Applied & Professional Ethics,0.033,,,a group jointly signing a decision;an organizational chain visibly linked to a harmful outcome;team roles assigned in a shared plan,covert trade-off;lesser evil chosen;mud-stained hands;stained but necessary decision,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-382,Collective Responsibility,B_context_dependent,same_subdomain,4,PHC-374,Ethics of Manipulation,Applied & Professional Ethics,0.027,,,a group jointly signing a decision;an organizational chain visibly linked to a harmful outcome;team roles assigned in a shared plan,a deceptive interface steering one option;hidden strings controlling a figure;information asymmetry used to channel a decision,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-382,Collective Responsibility,B_context_dependent,same_subdomain,5,PHC-375,Paternalism,Applied & Professional Ethics,0.000,,,a group jointly signing a decision;an organizational chain visibly linked to a harmful outcome;team roles assigned in a shared plan,guard-rail restriction;leading rope;parent holding child's hand across street;steering from behind,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-382,Collective Responsibility,B_context_dependent,lexical_overlap,6,PHC-473,Legal Responsibility,Philosophy of Law,0.107,,,a group jointly signing a decision;an organizational chain visibly linked to a harmful outcome;team roles assigned in a shared plan,chain of joint liability;court-identification;falling gavel;signed responsibility statement,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-382,Collective Responsibility,B_context_dependent,lexical_overlap,7,PHC-135,Shared Agency,Social Ontology,0.103,,,a group jointly signing a decision;an organizational chain visibly linked to a harmful outcome;team roles assigned in a shared plan,complementary roles following a shared plan;mutual adjustment toward one outcome;two people coordinating a lift that neither can complete alone,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-407,Information Technology & Privacy (Warren & Brandeis),B_context_dependent,same_axis_retrieval,1,PHC-477,Exploitation (Marx),Political Economy & Critical Theory,,labor_technology,,opened private mailbox;read diary;surveillance camera;transparent wall,drained well;labour-extracting gear;one-sided press;unbalanced scales,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-407,Information Technology & Privacy (Warren & Brandeis),B_context_dependent,same_axis_retrieval,2,PHC-503,Labour and Work (Marx),Political Economy & Critical Theory,,labor_technology,,opened private mailbox;read diary;surveillance camera;transparent wall,assembly-line output;polished workpiece;sweating hands;tilled fields,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-407,Information Technology & Privacy (Warren & Brandeis),B_context_dependent,same_subdomain,3,PHC-408,Algorithmic Fairness,Technology & AI Ethics,0.000,,,opened private mailbox;read diary;surveillance camera;transparent wall,an allocation dashboard exposing group disparities;an appeal process correcting an automated decision;matched applicants receiving different automated outcomes,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-407,Information Technology & Privacy (Warren & Brandeis),B_context_dependent,lexical_overlap,4,PHC-426,Publicity (Kant),Political Philosophy & Authority,0.120,,,opened private mailbox;read diary;surveillance camera;transparent wall,opened window;public square address;publicly posted notice;transparent glass wall,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-407,Information Technology & Privacy (Warren & Brandeis),B_context_dependent,lexical_overlap,5,PHC-506,Property and Ownership (Locke),Political Economy & Critical Theory,0.091,,,opened private mailbox;read diary;surveillance camera;transparent wall,fenced enclosure;locked title-deed;nameplate on door;planted property-sign,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-417,Negative Liberty (Berlin),A_core_recommended,same_axis_retrieval,1,PHC-418,Positive Liberty (Berlin),Political Philosophy & Authority,,freedom_constraint,,clear road;open doors;removed fences;unlocked passage,filled tank;lit bulb;provided tools;spread wings,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-417,Negative Liberty (Berlin),A_core_recommended,same_axis_retrieval,2,PHC-483,Coercion (Hobbes),Political Economy & Critical Theory,,freedom_constraint,,clear road;open doors;removed fences;unlocked passage,bound rope;choice under gun;steps pushed forward;twisted arm,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-417,Negative Liberty (Berlin),A_core_recommended,same_subdomain,3,PHC-416,Liberalism (Locke),Political Philosophy & Authority,0.091,,,clear road;open doors;removed fences;unlocked passage,open free space;released hands;removed chains;retreating government hand,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-417,Negative Liberty (Berlin),A_core_recommended,same_subdomain,4,PHC-419,Anarchism (Kropotkin),Political Philosophy & Authority,0.087,,,clear road;open doors;removed fences;unlocked passage,centre-less node-network;freely flowing collaboration-chain;spontaneous mutual-aid circles;unlocked doors,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-417,Negative Liberty (Berlin),A_core_recommended,same_subdomain,5,PHC-431,State of Nature (Hobbes),Political Philosophy & Authority,0.045,,,clear road;open doors;removed fences;unlocked passage,orderless jungle;unfenced field;unlined road;unowned wilderness,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-417,Negative Liberty (Berlin),A_core_recommended,lexical_overlap,6,PHC-449,Capability Approach (Sen),"Justice, Rights & Equality",0.136,,,clear road;open doors;removed fences;unlocked passage,expanded menu;freely navigable path-network;multiple open doors;rich toolbox,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-417,Negative Liberty (Berlin),A_core_recommended,lexical_overlap,7,PHC-317,Autonomy in Moral and Political Philosophy,Normative & Virtue Ethics,0.062,,,clear road;open doors;removed fences;unlocked passage,a consent process showing options and refusal;a person choosing among accessible alternatives without visible coercion;an institution enabling independent participation,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-418,Positive Liberty (Berlin),A_core_recommended,same_axis_retrieval,1,PHC-417,Negative Liberty (Berlin),Political Philosophy & Authority,,freedom_constraint,,filled tank;lit bulb;provided tools;spread wings,clear road;open doors;removed fences;unlocked passage,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-418,Positive Liberty (Berlin),A_core_recommended,same_axis_retrieval,2,PHC-483,Coercion (Hobbes),Political Economy & Critical Theory,,freedom_constraint,,filled tank;lit bulb;provided tools;spread wings,bound rope;choice under gun;steps pushed forward;twisted arm,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-418,Positive Liberty (Berlin),A_core_recommended,same_subdomain,3,PHC-409,Civil Disobedience (Thoreau),Political Philosophy & Authority,0.000,,,filled tank;lit bulb;provided tools;spread wings,peaceful sign-carrying crowd;silent non-cooperation;sitting protestors;unmoving feet,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-418,Positive Liberty (Berlin),A_core_recommended,same_subdomain,4,PHC-410,Common Good (Aristotle),Political Philosophy & Authority,0.000,,,filled tank;lit bulb;provided tools;spread wings,co-cultivated field;common water-source;jointly built roof;shared granary,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-418,Positive Liberty (Berlin),A_core_recommended,same_subdomain,5,PHC-411,Communitarianism (MacIntyre),Political Philosophy & Authority,0.000,,,filled tank;lit bulb;provided tools;spread wings,co-founded houses;interwoven cloth;root-linked forest;village under one sky,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-418,Positive Liberty (Berlin),A_core_recommended,lexical_overlap,6,PHC-394,Human Enhancement (Sandel),Bioethics & Health Ethics,0.095,,,filled tank;lit bulb;provided tools;spread wings,athlete beyond limits;enhanced muscles;human with wings;upgraded chip,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-418,Positive Liberty (Berlin),A_core_recommended,lexical_overlap,7,PHC-109,Consciousness (Locke),"Mind, Self & Agency",0.091,,,filled tank;provided tools;spread wings,focused lens;open eye;waking stream-of-consciousness,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-440,Recognition (Hegel),A_core_recommended,same_axis_retrieval,1,PHC-134,Social Ontology,Social Ontology,,social_existence,,eye-contact during handshake;mirror confirmation;mutual gaze;nod of acknowledgment,commonly signed contract;group-voting outcome;shared trust in currency;social convention,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-440,Recognition (Hegel),A_core_recommended,same_axis_retrieval,2,PHC-136,Collective Intentionality,Social Ontology,,social_existence,,eye-contact during handshake;mirror confirmation;mutual gaze;nod of acknowledgment,interdependent roles directed at a shared result;several people following one plan;synchronized action with a common target,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-440,Recognition (Hegel),A_core_recommended,same_subdomain,3,PHC-455,Public Justification (Rawls),"Justice, Rights & Equality",0.091,,,eye-contact during handshake;mirror confirmation;mutual gaze;nod of acknowledgment,co-signed document;handshake consensus;jointly signed agreement;mutual nodding,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-440,Recognition (Hegel),A_core_recommended,same_subdomain,4,PHC-458,Reflective Equilibrium in Political Justice,"Justice, Rights & Equality",0.043,,,eye-contact during handshake;mirror confirmation;mutual gaze;nod of acknowledgment,corrected map;polished lens;recalibrated scale;repeatedly tuning instrument,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-440,Recognition (Hegel),A_core_recommended,same_subdomain,5,PHC-451,Global Justice (Rawls),"Justice, Rights & Equality",0.040,,,eye-contact during handshake;mirror confirmation;mutual gaze;nod of acknowledgment,fairness-line circling globe;globally shared resource-map;handshake across borders;intercontinental bridge,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-440,Recognition (Hegel),A_core_recommended,lexical_overlap,6,PHC-627,The Gaze (Lacan),Phenomenological & Psychoanalytic Aesthetics,0.121,,,eye-contact during handshake;mirror confirmation;mutual gaze;nod of acknowledgment,embarrassment of being seen while looking;figure in painting following viewer;illusion of being looked back at by the painting;mirror image taken as self but not self;misplacement of desire in eye-contact,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-440,Recognition (Hegel),A_core_recommended,lexical_overlap,7,PHC-414,Reconciliation (Arendt),Political Philosophy & Authority,0.095,,,eye-contact during handshake;mirror confirmation;mutual gaze;nod of acknowledgment,handshake reconciliation;pieced-back mirror;re-joined rope;stitched wound,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-477,Exploitation (Marx),A_core_recommended,same_axis_retrieval,1,PHC-407,Information Technology & Privacy (Warren & Brandeis),Technology & AI Ethics,,labor_technology,,drained well;labour-extracting gear;one-sided press;unbalanced scales,opened private mailbox;read diary;surveillance camera;transparent wall,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-477,Exploitation (Marx),A_core_recommended,same_axis_retrieval,2,PHC-503,Labour and Work (Marx),Political Economy & Critical Theory,,labor_technology,,drained well;labour-extracting gear;one-sided press;unbalanced scales,assembly-line output;polished workpiece;sweating hands;tilled fields,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
